"기준년월","발신지역(시/도)","발신지역(시/군/구)","발신지역(읍/면/동)","통화량"
"2013년 08월","서울특별시","중구","신당3동","98"
"2013년 08월","서울특별시","중구","신당동","146"
"2013년 08월","서울특별시","중구","을지로1가","9"
"2013년 08월","서울특별시","중구","을지로2가","535"
"2013년 08월","서울특별시","중구","을지로3가","141"
"2013년 08월","서울특별시","중구","을지로5가","51"
"2013년 08월","서울특별시","중구","장충동1가","112"
"2013년 08월","서울특별시","중구","장충동2가","8"
"2013년 08월","서울특별시","중구","정동","31"
"2013년 08월","서울특별시","중구","주교동","19"
"2013년 08월","서울특별시","중구","충무로1가","152"
"2013년 08월","서울특별시","중구","충무로2가","60"
"2013년 08월","서울특별시","중구","충무로4가","6"
"2013년 08월","서울특별시","중구","충무로5가","22"
"2013년 08월","서울특별시","중구","태평로1가","7"
"2013년 08월","서울특별시","중구","태평로2가","206"
"2013년 08월","서울특별시","중구","필동2가","243"
"2013년 08월","서울특별시","중구","황학동","48"
"2013년 08월","서울특별시","중랑구","망우3동","12"
"2013년 08월","서울특별시","중랑구","망우동","60"
"2013년 08월","서울특별시","중랑구","망우본동","37"
"2013년 08월","서울특별시","중랑구","면목2동","64"
"2013년 08월","서울특별시","중랑구","면목3.8동","109"
"2013년 08월","서울특별시","중랑구","면목4동","14"
"2013년 08월","서울특별시","중랑구","면목5동","47"
"2013년 08월","서울특별시","중랑구","면목6동","30"
"2013년 08월","서울특별시","중랑구","면목8동","9"
"2013년 08월","서울특별시","중랑구","면목동","18"
"2013년 08월","서울특별시","중랑구","면목본동","53"
"2013년 08월","서울특별시","중랑구","묵2동","57"
"2013년 08월","서울특별시","중랑구","묵동","27"
"2013년 08월","서울특별시","중랑구","상봉1동","37"
"2013년 08월","서울특별시","중랑구","상봉2동","20"
"2013년 08월","서울특별시","중랑구","상봉동","61"
"2013년 08월","서울특별시","중랑구","신내1동","155"
"2013년 08월","서울특별시","중랑구","중화1동","61"
"2013년 08월","서울특별시","중랑구","중화2동","39"
"2013년 08월","서울특별시","중랑구","중화동","7"
