first,last,ASG,GG,BBWAA,From,To,Seasons,Ages,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
Billy,Gardner,0,,0,1954,1963,10,26-35,1034,3889,3544,356,841,159,18,41,271,246,18,439,33,54,12,83,19,22,0.237,0.292,0.327,0.619
Jim,Lemon,2,,0,1950,1963,14,22-35,1010,3870,3445,446,901,121,35,164,529,363,19,787,18,6,38,73,13,18,0.262,0.332,0.46,0.792
Dale,Long,1,,0,1951,1963,13,25-37,1013,3426,3020,384,805,135,33,132,467,353,39,460,7,7,39,76,10,3,0.267,0.341,0.464,0.805
Billy,Klaus,0,,0,1952,1963,12,23-34,821,2887,2513,357,626,106,15,40,250,331,7,285,4,21,18,37,14,7,0.249,0.335,0.351,0.686
Alex,Grammas,0,,0,1954,1963,10,28-37,913,2348,2073,236,512,90,10,12,163,206,22,192,15,41,13,56,17,14,0.247,0.318,0.317,0.635
Hobie,Landrith,0,,0,1950,1963,14,20-33,772,2227,1929,179,450,69,5,34,203,253,35,188,3,23,19,35,5,12,0.233,0.32,0.327,0.647
Eddie,Yost,1,,0,1944,1962,19,17-35,2109,9175,7346,1215,1863,337,56,139,683,1614,15,920,99,98,18,133,72,66,0.254,0.394,0.371,0.765
Dave,Philley,0,,0,1941,1962,22,21-42,1904,7000,6296,789,1700,276,72,84,729,594,14,551,17,71,22,190,101,63,0.27,0.334,0.377,0.711
Gene,Woodling,1,,0,1943,1962,20,20-39,1796,6613,5587,830,1585,257,63,147,830,921,34,479,28,46,31,110,29,45,0.284,0.386,0.431,0.817
Billy,Goodman,2,,0,1947,1962,16,21-36,1623,6446,5644,807,1691,299,44,19,591,669,7,329,29,89,15,121,37,30,0.3,0.376,0.378,0.754
Granny,Hamner,3,,0,1944,1962,19,17-35,1531,6291,5839,711,1529,272,62,104,708,351,10,432,6,71,24,173,35,14,0.262,0.303,0.383,0.686
Jim,Busby,1,,0,1950,1962,13,23-35,1352,4655,4250,541,1113,162,35,48,438,310,4,439,23,57,15,83,97,48,0.262,0.314,0.35,0.664
Danny,O'Connell,0,,0,1950,1962,13,23-35,1143,4596,4035,527,1049,181,35,39,320,431,3,396,22,89,19,75,48,22,0.26,0.333,0.351,0.684
Bob,Nieman,0,,0,1951,1962,12,24-35,1113,3947,3452,455,1018,180,32,125,544,435,18,512,9,26,25,104,10,30,0.295,0.373,0.474,0.847
Sammy,White,1,,0,1951,1962,12,22-33,1043,3788,3502,324,916,167,20,66,421,218,27,381,12,33,23,129,14,15,0.262,0.305,0.377,0.682
Andy,Carey,0,,0,1952,1962,11,20-30,938,3217,2850,371,741,119,38,64,350,268,18,389,27,44,28,75,23,21,0.26,0.327,0.396,0.723
Dick,Gernert,0,,0,1952,1962,11,23-33,835,2896,2493,357,632,104,8,103,402,363,12,462,17,10,13,67,10,11,0.254,0.351,0.426,0.777
Bob,Cerv,1,,0,1951,1962,12,25-36,829,2516,2261,320,624,96,26,105,374,212,19,392,17,6,20,73,12,10,0.276,0.34,0.481,0.821
Willie,Jones,2,,0,1947,1961,15,21-35,1691,6714,5826,786,1502,252,33,190,812,755,24,541,22,74,37,148,40,17,0.258,0.343,0.41,0.753
Ted,Kluszewski,4,,0,1947,1961,15,22-36,1718,6470,5929,848,1766,290,29,279,1028,492,70,365,23,3,23,143,20,10,0.298,0.353,0.498,0.851
Elmer,Valo,0,,0,1940,1961,22,19-40,1806,6091,5029,768,1420,228,73,58,601,942,12,284,38,65,17,111,110,79,0.282,0.398,0.391,0.789
Jackie,Jensen,0,,0,1950,1961,12,23-34,1438,6079,5236,810,1463,259,45,199,929,750,28,546,23,18,52,185,143,55,0.279,0.369,0.46,0.829
Earl,Torgeson,0,,0,1947,1961,15,23-37,1668,6037,4969,848,1318,215,46,149,740,980,7,653,8,55,25,113,133,39,0.265,0.385,0.417,0.802
Hank,Bauer,3,,0,1948,1961,14,25-38,1544,5776,5145,833,1424,229,57,164,703,521,11,638,34,51,25,95,50,33,0.277,0.346,0.439,0.785
Walt,Dropo,1,,0,1949,1961,13,26-38,1288,4521,4124,478,1113,168,22,152,704,328,12,582,24,22,23,166,5,6,0.27,0.326,0.432,0.758
Del,Rice,1,,0,1945,1961,17,22-38,1309,4312,3826,342,908,177,20,79,441,382,23,522,34,63,7,103,2,3,0.237,0.312,0.356,0.668
Jim,Rivera,0,,0,1952,1961,10,29-38,1171,4008,3552,503,911,155,56,83,422,365,22,523,23,44,24,56,160,70,0.256,0.328,0.402,0.73
Billy,Martin,1,,0,1950,1961,12,22-33,1021,3717,3419,425,877,137,28,64,333,188,8,355,32,55,23,96,34,29,0.257,0.3,0.369,0.669
Joe,DeMaestri,1,,0,1951,1961,11,22-32,1121,3678,3441,322,813,114,23,49,281,168,13,511,17,30,22,91,15,19,0.236,0.274,0.325,0.599
Clint,Courtney,0,,0,1951,1961,11,24-34,946,3147,2796,260,750,126,17,38,313,264,22,143,46,22,19,74,3,16,0.268,0.339,0.366,0.705
Rocky,Bridges,1,,0,1951,1961,11,23-33,919,2537,2272,245,562,80,11,16,187,205,10,229,7,40,13,79,10,15,0.247,0.31,0.313,0.623
Mickey,Vernon,7,,0,1939,1960,22,21-42,2409,9834,8731,1196,2495,490,120,172,1311,955,22,869,49,80,19,183,137,90,0.286,0.359,0.428,0.787
Alvin,Dark,3,,0,1946,1960,15,24-38,1828,7829,7219,1064,2089,358,72,126,757,430,20,534,54,95,31,134,59,27,0.289,0.333,0.411,0.744
Carl,Furillo,2,,0,1946,1960,15,24-38,1806,7022,6378,895,1910,324,56,192,1058,514,28,436,47,59,24,207,48,26,0.299,0.355,0.458,0.813
Bobby,Thomson,3,,0,1946,1960,15,22-36,1779,6957,6305,903,1705,267,74,264,1026,559,23,804,34,36,23,159,38,20,0.27,0.332,0.462,0.794
Whitey,Lockman,1,,0,1945,1960,16,18-33,1666,6590,5940,836,1658,222,49,114,563,552,15,383,19,64,15,68,43,27,0.279,0.342,0.391,0.733
Gil,McDougald,6,,0,1951,1960,10,23-32,1336,5395,4676,697,1291,187,51,112,576,559,8,623,36,97,27,93,45,44,0.276,0.356,0.41,0.766
Jim,Hegan,5,,0,1941,1960,20,20-39,1666,5318,4772,550,1087,187,46,92,525,456,14,742,4,72,14,113,15,24,0.228,0.295,0.344,0.639
Ray,Boone,2,,0,1948,1960,13,24-36,1373,5297,4589,645,1260,162,46,151,737,608,20,463,27,45,28,133,21,19,0.275,0.361,0.429,0.79
Grady,Hatton,1,,0,1946,1960,15,23-37,1312,4912,4206,562,1068,166,33,91,533,646,5,430,13,39,8,62,42,9,0.254,0.354,0.374,0.728
Johnny,Groth,0,,0,1946,1960,15,19-33,1248,4302,3808,480,1064,197,31,60,486,419,3,329,11,52,12,121,19,42,0.279,0.352,0.395,0.747
Irv,Noren,1,,0,1950,1960,11,25-35,1093,3507,3119,443,857,157,35,65,453,335,14,350,22,16,15,55,34,24,0.275,0.348,0.41,0.758
George,Strickland,0,,0,1950,1960,11,24-34,971,3266,2824,305,633,84,27,36,284,361,4,453,11,55,15,55,12,10,0.224,0.313,0.311,0.624
Stan,Lopata,2,,0,1948,1960,13,22-34,853,3034,2601,375,661,116,25,116,397,393,32,497,7,12,21,79,18,11,0.254,0.351,0.452,0.803
Jim,Delsing,0,,0,1948,1960,13,22-34,822,2802,2461,322,627,112,21,40,286,299,2,251,19,17,6,53,15,23,0.255,0.339,0.366,0.705
Del,Ennis,3,,0,1946,1959,14,21-34,1903,7940,7254,985,2063,358,69,288,1284,597,23,719,31,20,38,212,45,19,0.284,0.34,0.472,0.812
Andy,Pafko,4,,0,1943,1959,17,22-38,1852,7026,6292,844,1796,264,62,213,976,561,7,477,76,82,15,164,38,13,0.285,0.35,0.449,0.799
Hank,Sauer,2,,0,1941,1959,19,24-42,1399,5414,4796,709,1278,200,19,288,876,561,7,714,34,9,14,107,11,4,0.266,0.347,0.496,0.843
Bobby,Avila,3,,0,1949,1959,11,25-35,1300,5343,4620,725,1296,185,35,80,467,561,3,399,14,134,14,121,78,52,0.281,0.359,0.388,0.747
Chico,Carrasquel,4,,0,1950,1959,10,22-31,1325,5259,4644,568,1199,172,25,55,474,491,4,467,38,67,19,109,31,28,0.258,0.333,0.342,0.675
Don,Mueller,2,,0,1948,1959,12,21-32,1245,4594,4364,499,1292,139,37,65,520,167,12,146,13,29,21,97,11,8,0.296,0.322,0.39,0.712
Gus,Zernial,1,,0,1949,1959,11,26-36,1234,4561,4131,572,1093,159,22,237,776,383,3,755,24,3,20,106,15,7,0.265,0.329,0.486,0.815
Bobby,Adams,0,,0,1946,1959,14,24-37,1281,4533,4019,591,1082,188,49,37,303,414,1,447,17,78,5,62,67,30,0.269,0.34,0.368,0.708
Randy,Jackson,2,,0,1950,1959,10,24-33,955,3548,3203,412,835,115,44,103,415,281,11,382,7,42,15,108,36,16,0.261,0.32,0.421,0.741
Solly,Hemus,0,,0,1949,1959,11,26-36,961,3250,2694,459,736,137,41,51,263,456,12,248,62,31,7,49,21,18,0.273,0.39,0.411,0.801
Ed,Fitz Gerald,0,,0,1948,1959,12,24-35,807,2310,2086,199,542,82,10,19,217,185,3,235,12,22,5,76,9,6,0.26,0.323,0.336,0.659
Hal,Jeffcoat,0,,0,1948,1959,12,23-34,918,2131,1963,249,487,95,18,26,188,114,0,289,5,47,2,55,49,7,0.248,0.291,0.355,0.646
Eddie,Miksis,0,,0,1944,1958,15,17-31,1042,3338,3053,383,722,95,17,44,228,215,6,313,6,62,2,74,52,22,0.236,0.288,0.322,0.61
Roy,Smalley,0,,0,1948,1958,11,22-32,872,2948,2644,277,601,103,33,61,305,257,6,541,18,26,3,66,4,0,0.227,0.3,0.36,0.66
Les,Moss,0,,0,1946,1958,13,21-33,824,2549,2234,210,552,75,4,63,276,282,3,316,6,26,1,80,1,5,0.247,0.333,0.369,0.702
Walker,Cooper,8,,0,1940,1957,18,25-42,1473,5078,4702,573,1341,240,40,173,812,309,3,357,22,44,1,160,18,1,0.285,0.332,0.464,0.796
Bob,Kennedy,0,,0,1939,1957,19,18-36,1483,5065,4624,514,1176,196,41,63,514,364,2,443,6,65,6,151,45,50,0.254,0.309,0.355,0.664
Eddie,Robinson,4,,0,1942,1957,16,21-36,1315,4891,4282,546,1146,172,24,172,723,521,10,359,50,33,5,100,10,12,0.268,0.353,0.44,0.793
Andy,Seminick,1,,0,1943,1957,15,22-36,1304,4571,3921,495,953,139,26,164,556,582,9,780,40,27,1,118,23,7,0.243,0.347,0.417,0.764
Frank,Baumholtz,0,,0,1947,1957,11,28-38,1019,3807,3477,450,1010,165,51,25,272,258,2,258,17,45,10,57,30,20,0.29,0.342,0.389,0.731
Ron,Northey,0,,0,1942,1957,16,22-37,1084,3567,3172,385,874,172,28,108,513,361,4,297,15,14,5,57,7,0,0.276,0.352,0.45,0.802
Wes,Westrum,2,,0,1947,1957,11,24-34,919,2849,2322,302,503,59,8,96,315,489,9,514,19,11,8,60,10,5,0.217,0.356,0.373,0.729
Joe,Collins,0,,0,1948,1957,10,25-34,908,2700,2329,404,596,79,24,86,329,338,6,263,4,22,7,48,27,21,0.256,0.35,0.421,0.771
Al,Rosen,4,,0,1947,1956,10,23-32,1044,4374,3725,603,1063,165,20,192,717,587,9,385,27,9,26,121,39,33,0.285,0.384,0.495,0.879
Dale,Mitchell,2,,0,1946,1956,11,24-34,1127,4357,3984,555,1244,169,61,41,403,346,3,119,5,21,1,65,45,47,0.312,0.368,0.416,0.784
Hoot,Evers,0,,0,1941,1956,16,20-35,1142,4310,3801,556,1055,187,41,98,565,415,0,420,27,65,2,116,45,36,0.278,0.353,0.426,0.779
Sam,Mele,0,,0,1947,1956,10,25-34,1046,3796,3437,406,916,168,39,80,544,311,0,342,10,29,9,130,15,14,0.267,0.328,0.408,0.736
Hank,Thompson,0,,0,1947,1956,10,21-30,933,3568,3003,492,801,104,34,129,482,493,6,337,22,35,15,46,33,15,0.267,0.372,0.453,0.825
Wally,Westlake,1,,0,1947,1956,10,26-35,958,3495,3117,474,848,107,33,127,539,317,1,453,33,26,2,98,19,7,0.272,0.345,0.45,0.795
Clyde,McCullough,2,,0,1940,1956,17,23-39,1098,3459,3121,308,785,121,28,52,339,265,3,398,20,50,3,87,27,1,0.252,0.314,0.358,0.672
Gil,Coan,0,,0,1946,1956,11,24-34,918,3166,2877,384,731,98,44,39,278,232,0,384,28,27,2,25,83,38,0.254,0.316,0.359,0.675
Chuck,Diering,0,,0,1947,1956,10,24-33,752,1920,1648,217,411,76,14,14,141,237,1,250,6,26,3,32,16,23,0.249,0.345,0.338,0.683
Phil,Cavarretta,3,,0,1934,1955,22,17-38,2030,7701,6754,990,1977,347,99,95,920,820,0,598,37,89,1,103,65,0,0.293,0.372,0.416,0.788
Vern,Stephens,7,,0,1941,1955,15,20-34,1720,7240,6497,1001,1859,307,42,247,1174,692,0,685,6,37,8,169,25,22,0.286,0.355,0.46,0.815
Eddie,Joost,2,,0,1936,1955,20,20-39,1574,6783,5606,874,1339,238,35,134,601,1043,2,827,33,101,0,83,61,31,0.239,0.361,0.366,0.727
Sid,Gordon,2,,0,1941,1955,15,23-37,1475,5811,4992,735,1415,220,43,202,805,731,2,356,22,54,12,174,19,5,0.283,0.377,0.466,0.843
Pete,Suder,0,,0,1941,1955,15,25-39,1421,5473,5085,469,1268,210,44,49,541,288,0,456,7,92,1,158,19,28,0.249,0.29,0.337,0.627
Peanuts,Lowrey,1,,0,1942,1955,14,24-37,1401,4831,4317,564,1177,186,45,37,479,403,0,226,11,97,3,118,48,3,0.273,0.336,0.362,0.698
Willard,Marshall,3,,0,1942,1955,14,21-34,1246,4735,4233,583,1160,163,39,130,604,458,1,219,13,29,2,109,14,4,0.274,0.347,0.423,0.77
Eddie,Waitkus,2,,0,1941,1955,15,21-35,1140,4680,4254,528,1214,215,44,24,373,372,4,204,11,40,3,75,28,8,0.285,0.344,0.374,0.718
Billy,Cox,0,,0,1941,1955,15,21-35,1058,4081,3712,470,974,174,32,66,351,298,0,218,7,62,2,83,42,21,0.262,0.318,0.38,0.698
Hank,Majeski,0,,0,1939,1955,17,22-38,1069,3790,3421,404,956,181,27,57,501,299,1,260,27,42,1,117,10,11,0.279,0.342,0.398,0.74
Harry,Walker,2,,0,1940,1955,16,23-38,807,2981,2651,385,786,126,37,10,214,245,0,175,7,78,0,32,42,0,0.296,0.358,0.383,0.741
Floyd,Baker,0,,0,1943,1955,13,26-38,874,2694,2280,285,573,76,13,1,196,382,0,165,6,26,0,33,23,25,0.251,0.36,0.297,0.657
Johnny,Pesky,1,,0,1942,1954,13,22-34,1270,5516,4745,867,1455,226,50,17,404,662,0,218,25,83,1,82,53,49,0.307,0.394,0.386,0.78
Cass,Michaels,2,,0,1943,1954,12,17-28,1288,5020,4367,508,1142,147,46,53,501,566,0,406,24,63,0,116,64,32,0.262,0.349,0.353,0.702
Johnny,Wyrostek,2,,0,1942,1954,13,22-34,1221,4784,4240,525,1149,209,45,58,481,482,0,437,25,33,4,80,33,13,0.271,0.349,0.383,0.732
Connie,Ryan,1,,0,1942,1954,13,22-34,1184,4595,3982,535,988,181,42,56,381,518,0,514,14,81,0,92,69,12,0.248,0.337,0.357,0.694
Mickey,Owen,4,,0,1937,1954,18,21-38,1209,4072,3649,338,929,163,21,14,378,326,0,181,13,80,4,122,36,1,0.255,0.318,0.322,0.64
Catfish,Metkovich,0,,0,1943,1954,12,22-33,1055,3955,3585,476,934,167,36,47,373,307,0,359,22,38,3,80,61,28,0.261,0.322,0.367,0.689
Sibby,Sisti,0,,0,1939,1954,16,18-33,1016,3368,2999,401,732,121,19,27,260,283,0,440,16,70,0,62,30,5,0.244,0.313,0.324,0.637
Johnny,Lindell,1,,0,1941,1954,14,24-37,854,3122,2795,401,762,124,48,72,404,289,0,366,16,22,0,91,17,13,0.273,0.344,0.429,0.773
Johnny,Lipon,0,,0,1942,1954,13,19-31,758,3089,2661,351,690,95,24,10,266,347,0,152,7,74,0,65,28,25,0.259,0.346,0.324,0.67
Bud,Stewart,0,,0,1941,1954,14,25-38,773,2335,2041,288,547,96,32,32,260,252,0,157,9,33,0,25,29,23,0.268,0.351,0.393,0.744
Bob,Elliott,6,,0,1939,1953,15,22-36,1978,8190,7141,1064,2061,382,94,170,1195,967,0,604,16,66,0,187,60,2,0.289,0.375,0.44,0.815
Dom,DiMaggio,7,,0,1940,1953,14,23-36,1399,6478,5640,1046,1680,308,57,87,618,750,0,571,31,57,0,107,100,62,0.298,0.383,0.419,0.802
Bill,Nicholson,4,,0,1936,1953,18,21-38,1677,6418,5546,837,1484,272,60,235,948,800,0,828,52,20,0,61,27,1,0.268,0.365,0.465,0.83
Marty,Marion,7,,0,1940,1953,14,22-35,1572,6141,5506,602,1448,272,37,36,624,470,0,537,14,151,0,120,35,2,0.263,0.323,0.345,0.668
Eddie,Stanky,3,,0,1943,1953,11,26-36,1259,5435,4301,811,1154,185,35,29,364,996,0,374,35,103,0,62,48,5,0.268,0.41,0.348,0.758
Jerry,Priddy,0,,0,1941,1953,13,21-33,1296,5428,4720,612,1252,232,46,61,541,624,0,639,13,71,0,136,44,44,0.265,0.353,0.373,0.726
Barney,McCosky,0,,0,1939,1953,15,22-36,1170,4760,4172,664,1301,214,71,24,397,497,0,261,10,81,0,62,58,31,0.312,0.386,0.414,0.8
Don,Kolloway,0,,0,1940,1953,14,21-34,1079,4244,3993,466,1081,180,30,29,393,189,0,251,10,52,0,110,76,54,0.271,0.305,0.353,0.658
Al,Zarilla,1,,0,1943,1953,11,24-34,1120,4034,3535,507,975,186,43,61,456,415,0,382,30,54,0,61,33,33,0.276,0.357,0.405,0.762
Billy,Johnson,1,,0,1943,1953,11,24-34,964,3659,3253,419,882,141,33,61,487,347,0,290,28,31,0,125,13,11,0.271,0.346,0.391,0.737
Bob,Swift,0,,0,1940,1953,14,25-38,1001,3136,2750,212,635,86,3,14,238,324,0,233,3,59,0,79,10,6,0.231,0.313,0.28,0.593
Pat,Mullin,2,,0,1940,1953,14,22-35,864,2849,2493,381,676,106,43,87,385,330,0,312,6,20,0,37,20,27,0.271,0.358,0.453,0.811
Tommy,Holmes,1,,0,1942,1952,11,25-35,1320,5565,4992,698,1507,292,47,88,581,480,0,122,24,69,0,96,40,0,0.302,0.366,0.432,0.798
Johnny,Hopp,1,,0,1939,1952,14,22-35,1393,4804,4260,698,1262,216,74,46,458,464,0,378,19,61,0,60,128,1,0.296,0.368,0.414,0.782
Charlie,Keller,5,,0,1939,1952,14,22-35,1170,4604,3790,725,1085,166,72,189,760,784,0,499,10,20,0,50,45,23,0.286,0.41,0.518,0.928
Snuffy,Stirnweiss,1,,0,1943,1952,10,24-33,1028,4292,3695,604,989,157,68,29,281,541,0,447,6,50,0,73,134,55,0.268,0.362,0.371,0.733
Birdie,Tebbetts,4,,0,1936,1952,17,23-39,1162,4149,3704,357,1000,169,22,38,469,389,0,261,12,44,0,111,29,23,0.27,0.341,0.358,0.699
Phil,Masi,3,,0,1939,1952,14,23-36,1229,3946,3468,420,917,164,31,47,417,410,0,311,10,58,0,107,45,1,0.264,0.344,0.37,0.714
Johnny,Berardino,0,,0,1939,1952,14,22-35,912,3357,3028,334,755,167,23,36,387,284,0,268,13,32,0,80,27,29,0.249,0.316,0.355,0.671
Pete,Reiser,3,,0,1940,1952,13,21-33,861,3053,2662,473,786,155,41,58,368,343,0,369,20,28,0,26,87,3,0.295,0.38,0.45,0.83
Wally,Moses,1,,0,1935,1951,17,24-40,2012,8253,7356,1124,2138,435,110,89,679,821,0,457,21,55,0,58,174,81,0.291,0.364,0.416,0.78
Sam,Chapman,1,,0,1938,1951,14,22-35,1368,5600,4988,754,1329,210,52,180,773,562,0,682,15,35,0,137,41,38,0.266,0.342,0.438,0.78
Jim,Russell,0,,0,1942,1951,10,23-32,1035,4145,3595,554,959,175,51,67,428,503,0,427,22,25,0,76,59,0,0.267,0.36,0.4,0.76
Danny,Litwhiler,1,,0,1940,1951,12,23-34,1057,3858,3494,428,982,162,32,107,451,299,0,377,27,38,0,86,11,0,0.281,0.342,0.438,0.78
Jimmy,Bloodworth,0,,0,1937,1951,15,19-33,1002,3788,3519,347,874,160,20,62,451,202,0,407,16,51,0,116,19,22,0.248,0.292,0.358,0.65
Buddy,Rosar,5,,0,1939,1951,13,24-36,988,3571,3198,335,836,147,15,18,367,315,0,161,10,48,0,97,17,18,0.261,0.33,0.334,0.664
Ray,Mueller,1,,0,1935,1951,17,23-39,985,3238,2911,281,733,123,23,56,373,250,0,322,13,64,0,77,14,0,0.252,0.314,0.368,0.682
Danny,Murtaugh,0,,0,1941,1951,11,23-33,767,2937,2599,263,661,97,21,8,219,287,0,215,9,42,0,49,49,0,0.254,0.331,0.317,0.648
Ken,Keltner,7,,0,1937,1950,14,20-33,1526,6312,5683,737,1570,308,69,163,852,514,0,480,13,102,0,144,39,33,0.276,0.338,0.441,0.779
Eddie,Miller,7,,0,1936,1950,15,19-33,1510,5816,5337,539,1270,263,28,97,640,351,0,465,44,84,0,133,64,0,0.238,0.29,0.352,0.642
Tommy,Henrich,5,,0,1937,1950,14,24-37,1284,5409,4603,901,1297,269,73,183,795,712,0,383,34,60,0,62,37,19,0.282,0.382,0.491,0.873
Frankie,Gustine,3,,0,1939,1950,12,19-30,1261,5037,4582,553,1214,222,47,38,480,369,0,427,15,71,0,125,60,1,0.265,0.322,0.359,0.681
Eddie,Lake,0,,0,1939,1950,12,23-34,835,3199,2595,442,599,105,9,39,193,546,0,312,8,50,0,49,52,45,0.231,0.366,0.323,0.689
Roy,Weatherly,0,,0,1936,1950,15,21-35,811,3008,2781,415,794,152,44,43,290,180,0,170,7,40,0,24,42,49,0.286,0.331,0.418,0.749
