"일자"	"요일"	"시간대"	"업종"	"이용건수"
"20131103"	"일"	"14"	"음식점-중국음식"	"2281"
"20131103"	"일"	"14"	"치킨"	"851"
"20131103"	"일"	"14"	"피자"	"589"
"20131103"	"일"	"15"	"음식점-족발/보쌈전문"	"99"
"20131103"	"일"	"15"	"음식점-중국음식"	"1598"
"20131103"	"일"	"15"	"치킨"	"1057"
"20131103"	"일"	"15"	"피자"	"558"
"20131103"	"일"	"16"	"음식점-족발/보쌈전문"	"181"
"20131103"	"일"	"16"	"음식점-중국음식"	"1524"
"20131103"	"일"	"16"	"치킨"	"1512"
"20131103"	"일"	"16"	"피자"	"693"
"20131103"	"일"	"17"	"음식점-족발/보쌈전문"	"369"
"20131103"	"일"	"17"	"음식점-중국음식"	"2156"
"20131103"	"일"	"17"	"치킨"	"2695"
"20131103"	"일"	"17"	"피자"	"897"
"20131103"	"일"	"18"	"음식점-족발/보쌈전문"	"496"
"20131103"	"일"	"18"	"음식점-중국음식"	"2424"
"20131103"	"일"	"18"	"치킨"	"3474"
"20131103"	"일"	"18"	"피자"	"1048"
"20131103"	"일"	"19"	"음식점-족발/보쌈전문"	"341"
"20131103"	"일"	"19"	"음식점-중국음식"	"1513"
"20131103"	"일"	"19"	"치킨"	"2778"
"20131103"	"일"	"19"	"피자"	"883"
"20131103"	"일"	"20"	"음식점-족발/보쌈전문"	"215"
"20131103"	"일"	"20"	"음식점-중국음식"	"857"
"20131103"	"일"	"20"	"치킨"	"2367"
"20131103"	"일"	"20"	"피자"	"672"
"20131103"	"일"	"21"	"음식점-족발/보쌈전문"	"196"
"20131103"	"일"	"21"	"음식점-중국음식"	"382"
"20131103"	"일"	"21"	"치킨"	"2500"
"20131103"	"일"	"21"	"피자"	"661"
"20131103"	"일"	"22"	"음식점-족발/보쌈전문"	"158"
"20131103"	"일"	"22"	"음식점-중국음식"	"268"
"20131103"	"일"	"22"	"치킨"	"1938"
"20131103"	"일"	"22"	"피자"	"436"
"20131103"	"일"	"23"	"음식점-족발/보쌈전문"	"105"
"20131103"	"일"	"23"	"음식점-중국음식"	"183"
"20131103"	"일"	"23"	"치킨"	"1261"
"20131103"	"일"	"23"	"피자"	"132"
"20131104"	"월"	"00"	"음식점-족발/보쌈전문"	"44"
"20131104"	"월"	"00"	"음식점-중국음식"	"118"
"20131104"	"월"	"00"	"치킨"	"534"
"20131104"	"월"	"00"	"피자"	"41"
"20131104"	"월"	"01"	"음식점-족발/보쌈전문"	"19"
"20131104"	"월"	"01"	"음식점-중국음식"	"111"
"20131104"	"월"	"01"	"치킨"	"200"
"20131104"	"월"	"01"	"피자"	"17"
"20131104"	"월"	"02"	"음식점-중국음식"	"98"
"20131104"	"월"	"02"	"치킨"	"68"
"20131104"	"월"	"02"	"피자"	"13"
"20131104"	"월"	"03"	"음식점-족발/보쌈전문"	"12"
"20131104"	"월"	"03"	"음식점-중국음식"	"85"
"20131104"	"월"	"03"	"치킨"	"25"
"20131104"	"월"	"03"	"피자"	"6"
"20131104"	"월"	"04"	"음식점-중국음식"	"57"
"20131104"	"월"	"04"	"치킨"	"10"
"20131104"	"월"	"05"	"음식점-중국음식"	"53"
"20131104"	"월"	"05"	"치킨"	"15"
"20131104"	"월"	"05"	"피자"	"6"
"20131104"	"월"	"06"	"음식점-족발/보쌈전문"	"6"
"20131104"	"월"	"06"	"음식점-중국음식"	"40"
"20131104"	"월"	"07"	"음식점-족발/보쌈전문"	"18"
"20131104"	"월"	"07"	"음식점-중국음식"	"44"
"20131104"	"월"	"08"	"음식점-족발/보쌈전문"	"11"
"20131104"	"월"	"08"	"음식점-중국음식"	"59"
"20131104"	"월"	"09"	"음식점-족발/보쌈전문"	"7"
"20131104"	"월"	"09"	"음식점-중국음식"	"169"
"20131104"	"월"	"09"	"치킨"	"11"
"20131104"	"월"	"09"	"피자"	"8"
"20131104"	"월"	"10"	"음식점-족발/보쌈전문"	"27"
"20131104"	"월"	"10"	"음식점-중국음식"	"406"
"20131104"	"월"	"10"	"치킨"	"18"
"20131104"	"월"	"10"	"피자"	"48"
"20131104"	"월"	"11"	"음식점-족발/보쌈전문"	"55"
"20131104"	"월"	"11"	"음식점-중국음식"	"1260"
"20131104"	"월"	"11"	"치킨"	"80"
"20131104"	"월"	"11"	"피자"	"150"
"20131104"	"월"	"12"	"음식점-족발/보쌈전문"	"78"
"20131104"	"월"	"12"	"음식점-중국음식"	"1807"
"20131104"	"월"	"12"	"치킨"	"173"
"20131104"	"월"	"12"	"피자"	"203"
"20131104"	"월"	"13"	"음식점-족발/보쌈전문"	"68"
"20131104"	"월"	"13"	"음식점-중국음식"	"1366"
"20131104"	"월"	"13"	"치킨"	"198"
"20131104"	"월"	"13"	"피자"	"163"
"20131104"	"월"	"14"	"음식점-족발/보쌈전문"	"54"
"20131104"	"월"	"14"	"음식점-중국음식"	"946"
"20131104"	"월"	"14"	"치킨"	"220"
"20131104"	"월"	"14"	"피자"	"172"
"20131104"	"월"	"15"	"음식점-족발/보쌈전문"	"61"
"20131104"	"월"	"15"	"음식점-중국음식"	"836"
"20131104"	"월"	"15"	"치킨"	"328"
"20131104"	"월"	"15"	"피자"	"228"
"20131104"	"월"	"16"	"음식점-족발/보쌈전문"	"83"
"20131104"	"월"	"16"	"음식점-중국음식"	"855"
"20131104"	"월"	"16"	"치킨"	"552"
"20131104"	"월"	"16"	"피자"	"276"
"20131104"	"월"	"17"	"음식점-족발/보쌈전문"	"126"
"20131104"	"월"	"17"	"음식점-중국음식"	"1139"
"20131104"	"월"	"17"	"치킨"	"943"
