"일자","요일","시간대","업종","총_건수"
"20130903","화","12","음식점-족발/보쌈전문","74"
"20130903","화","12","치킨","214"
"20130903","화","12","피자전문","259"
"20130903","화","12","음식점-중국음식","3424"
"20130903","화","13","음식점-족발/보쌈전문","54"
"20130903","화","13","피자전문","211"
"20130903","화","13","치킨","232"
"20130903","화","13","음식점-중국음식","2381"
"20130903","화","14","음식점-족발/보쌈전문","60"
"20130903","화","14","피자전문","243"
"20130903","화","14","치킨","292"
"20130903","화","14","음식점-중국음식","1683"
"20130903","화","15","음식점-족발/보쌈전문","79"
"20130903","화","15","피자전문","273"
"20130903","화","15","치킨","478"
"20130903","화","15","음식점-중국음식","1308"
"20130903","화","16","음식점-족발/보쌈전문","80"
"20130903","화","16","피자전문","441"
"20130903","화","16","치킨","742"
"20130903","화","16","음식점-중국음식","1299"
"20130903","화","17","음식점-족발/보쌈전문","168"
"20130903","화","17","피자전문","487"
"20130903","화","17","치킨","1225"
"20130903","화","17","음식점-중국음식","1767"
"20130903","화","18","음식점-족발/보쌈전문","325"
"20130903","화","18","피자전문","676"
"20130903","화","18","치킨","2072"
"20130903","화","18","음식점-중국음식","2535"
"20130903","화","19","음식점-족발/보쌈전문","388"
"20130903","화","19","피자전문","734"
"20130903","화","19","음식점-중국음식","2682"
"20130903","화","19","치킨","2811"
"20130903","화","20","음식점-족발/보쌈전문","293"
"20130903","화","20","피자전문","611"
"20130903","화","20","음식점-중국음식","1558"
"20130903","화","20","치킨","2530"
"20130903","화","21","음식점-족발/보쌈전문","216"
"20130903","화","21","피자전문","474"
"20130903","화","21","음식점-중국음식","546"
"20130903","화","21","치킨","2409"
"20130903","화","22","음식점-족발/보쌈전문","168"
"20130903","화","22","음식점-중국음식","290"
"20130903","화","22","피자전문","363"
"20130903","화","22","치킨","2417"
"20130903","화","23","음식점-족발/보쌈전문","97"
"20130903","화","23","피자전문","130"
"20130903","화","23","음식점-중국음식","264"
"20130903","화","23","치킨","1474"
"20130904","수","00","피자전문","35"
"20130904","수","00","음식점-족발/보쌈전문","51"
"20130904","수","00","음식점-중국음식","184"
"20130904","수","00","치킨","562"
"20130904","수","01","피자전문","21"
"20130904","수","01","음식점-족발/보쌈전문","46"
"20130904","수","01","음식점-중국음식","217"
"20130904","수","01","치킨","226"
"20130904","수","02","피자전문","18"
"20130904","수","02","음식점-족발/보쌈전문","29"
"20130904","수","02","치킨","100"
"20130904","수","02","음식점-중국음식","176"
"20130904","수","03","피자전문","7"
"20130904","수","03","음식점-족발/보쌈전문","15"
"20130904","수","03","치킨","45"
"20130904","수","03","음식점-중국음식","167"
"20130904","수","04","피자전문","6"
"20130904","수","04","음식점-족발/보쌈전문","10"
"20130904","수","04","치킨","24"
"20130904","수","04","음식점-중국음식","135"
"20130904","수","05","음식점-족발/보쌈전문","8"
"20130904","수","05","피자전문","8"
"20130904","수","05","치킨","18"
"20130904","수","05","음식점-중국음식","92"
"20130904","수","06","피자전문","5"
"20130904","수","06","치킨","10"
"20130904","수","06","음식점-족발/보쌈전문","11"
"20130904","수","06","음식점-중국음식","102"
"20130904","수","07","치킨","5"
"20130904","수","07","피자전문","5"
"20130904","수","07","음식점-족발/보쌈전문","13"
"20130904","수","07","음식점-중국음식","75"
"20130904","수","08","피자전문","5"
"20130904","수","08","음식점-족발/보쌈전문","9"
"20130904","수","08","치킨","11"
"20130904","수","08","음식점-중국음식","110"
"20130904","수","09","치킨","11"
"20130904","수","09","음식점-족발/보쌈전문","14"
"20130904","수","09","피자전문","18"
"20130904","수","09","음식점-중국음식","268"
"20130904","수","10","치킨","29"
"20130904","수","10","음식점-족발/보쌈전문","39"
"20130904","수","10","피자전문","69"
"20130904","수","10","음식점-중국음식","713"
"20130904","수","11","음식점-족발/보쌈전문","63"
"20130904","수","11","치킨","113"
"20130904","수","11","피자전문","215"
"20130904","수","11","음식점-중국음식","2453"
"20130904","수","12","음식점-족발/보쌈전문","75"
"20130904","수","12","치킨","228"
"20130904","수","12","피자전문","253"
"20130904","수","12","음식점-중국음식","3362"
"20130904","수","13","음식점-족발/보쌈전문","68"
"20130904","수","13","피자전문","255"
"20130904","수","13","치킨","272"
"20130904","수","13","음식점-중국음식","2409"
"20130904","수","14","음식점-족발/보쌈전문","60"
"20130904","수","14","피자전문","240"
"20130904","수","14","치킨","304"
"20130904","수","14","음식점-중국음식","1685"
"20130904","수","15","음식점-족발/보쌈전문","59"
"20130904","수","15","피자전문","308"
"20130904","수","15","치킨","433"
"20130904","수","15","음식점-중국음식","1357"
"20130904","수","16","음식점-족발/보쌈전문","113"
"20130904","수","16","피자전문","432"
"20130904","수","16","치킨","738"
"20130904","수","16","음식점-중국음식","1392"
"20130904","수","17","음식점-족발/보쌈전문","195"
"20130904","수","17","피자전문","535"
"20130904","수","17","치킨","1304"
"20130904","수","17","음식점-중국음식","1733"
"20130904","수","18","음식점-족발/보쌈전문","305"
"20130904","수","18","피자전문","737"
"20130904","수","18","치킨","2283"
"20130904","수","18","음식점-중국음식","2658"
"20130904","수","19","음식점-족발/보쌈전문","424"
"20130904","수","19","피자전문","714"
"20130904","수","19","음식점-중국음식","2740"
"20130904","수","19","치킨","2993"
"20130904","수","20","음식점-족발/보쌈전문","312"
"20130904","수","20","피자전문","585"
"20130904","수","20","음식점-중국음식","1489"
"20130904","수","20","치킨","2719"
"20130904","수","21","음식점-족발/보쌈전문","249"
"20130904","수","21","피자전문","550"
"20130904","수","21","음식점-중국음식","555"
"20130904","수","21","치킨","2668"
"20130904","수","22","음식점-족발/보쌈전문","183"
"20130904","수","22","음식점-중국음식","294"
"20130904","수","22","피자전문","423"
"20130904","수","22","치킨","2483"
"20130904","수","23","음식점-족발/보쌈전문","128"
"20130904","수","23","피자전문","132"
"20130904","수","23","음식점-중국음식","255"
"20130904","수","23","치킨","1501"
"20130905","목","00","피자전문","44"
"20130905","목","00","음식점-족발/보쌈전문","71"
"20130905","목","00","음식점-중국음식","242"
"20130905","목","00","치킨","601"
"20130905","목","01","피자전문","32"
"20130905","목","01","음식점-족발/보쌈전문","57"
"20130905","목","01","음식점-중국음식","188"
"20130905","목","01","치킨","236"
"20130905","목","02","피자전문","29"
"20130905","목","02","음식점-족발/보쌈전문","36"
"20130905","목","02","치킨","84"
"20130905","목","02","음식점-중국음식","178"
"20130905","목","03","피자전문","10"
"20130905","목","03","음식점-족발/보쌈전문","11"
"20130905","목","03","치킨","64"
"20130905","목","03","음식점-중국음식","155"
"20130905","목","04","피자전문","8"
"20130905","목","04","음식점-족발/보쌈전문","11"
"20130905","목","04","치킨","28"
"20130905","목","04","음식점-중국음식","113"
"20130905","목","05","피자전문","5"
