"date"	"weekday"	"time"	"type"	"freq"
2013-08-03	"토"	"19"	"족발/보쌈전문"	631
2013-08-03	"토"	"20"	"족발/보쌈전문"	489
2013-08-03	"토"	"21"	"족발/보쌈전문"	416
2013-08-03	"토"	"22"	"족발/보쌈전문"	295
2013-08-03	"토"	"23"	"족발/보쌈전문"	186
2013-08-03	"토"	"00"	"중국음식"	257
2013-08-03	"토"	"01"	"중국음식"	234
2013-08-03	"토"	"02"	"중국음식"	229
2013-08-03	"토"	"03"	"중국음식"	186
2013-08-03	"토"	"04"	"중국음식"	140
2013-08-03	"토"	"05"	"중국음식"	124
2013-08-03	"토"	"06"	"중국음식"	109
2013-08-03	"토"	"07"	"중국음식"	128
2013-08-03	"토"	"08"	"중국음식"	173
2013-08-03	"토"	"09"	"중국음식"	405
2013-08-03	"토"	"10"	"중국음식"	1197
2013-08-03	"토"	"11"	"중국음식"	3542
2013-08-03	"토"	"12"	"중국음식"	5112
2013-08-03	"토"	"13"	"중국음식"	4617
2013-08-03	"토"	"14"	"중국음식"	3177
2013-08-03	"토"	"15"	"중국음식"	2274
2013-08-03	"토"	"16"	"중국음식"	1906
2013-08-03	"토"	"17"	"중국음식"	2361
2013-08-03	"토"	"18"	"중국음식"	3289
2013-08-03	"토"	"19"	"중국음식"	3177
2013-08-03	"토"	"20"	"중국음식"	2032
2013-08-03	"토"	"21"	"중국음식"	651
2013-08-03	"토"	"22"	"중국음식"	360
2013-08-03	"토"	"23"	"중국음식"	285
2013-08-03	"토"	"00"	"치킨"	1241
2013-08-03	"토"	"01"	"치킨"	412
2013-08-03	"토"	"02"	"치킨"	131
2013-08-03	"토"	"03"	"치킨"	68
2013-08-03	"토"	"04"	"치킨"	38
2013-08-03	"토"	"05"	"치킨"	17
2013-08-03	"토"	"06"	"치킨"	8
2013-08-03	"토"	"07"	"치킨"	7
2013-08-03	"토"	"09"	"치킨"	27
2013-08-03	"토"	"10"	"치킨"	50
2013-08-03	"토"	"11"	"치킨"	280
2013-08-03	"토"	"12"	"치킨"	741
2013-08-03	"토"	"13"	"치킨"	844
2013-08-03	"토"	"14"	"치킨"	972
2013-08-03	"토"	"15"	"치킨"	1169
2013-08-03	"토"	"16"	"치킨"	1444
2013-08-03	"토"	"17"	"치킨"	2468
2013-08-03	"토"	"18"	"치킨"	3763
2013-08-03	"토"	"19"	"치킨"	3959
2013-08-03	"토"	"20"	"치킨"	4053
2013-08-03	"토"	"21"	"치킨"	4532
2013-08-03	"토"	"22"	"치킨"	3990
2013-08-03	"토"	"23"	"치킨"	2770
2013-08-03	"토"	"00"	"피자전문"	58
2013-08-03	"토"	"01"	"피자전문"	38
2013-08-03	"토"	"02"	"피자전문"	21
2013-08-03	"토"	"03"	"피자전문"	11
2013-08-03	"토"	"04"	"피자전문"	18
2013-08-03	"토"	"05"	"피자전문"	6
2013-08-03	"토"	"06"	"피자전문"	9
2013-08-03	"토"	"08"	"피자전문"	10
2013-08-03	"토"	"09"	"피자전문"	28
2013-08-03	"토"	"10"	"피자전문"	124
2013-08-03	"토"	"11"	"피자전문"	471
2013-08-03	"토"	"12"	"피자전문"	660
2013-08-03	"토"	"13"	"피자전문"	680
2013-08-03	"토"	"14"	"피자전문"	675
2013-08-03	"토"	"15"	"피자전문"	578
2013-08-03	"토"	"16"	"피자전문"	618
2013-08-03	"토"	"17"	"피자전문"	845
2013-08-03	"토"	"18"	"피자전문"	1113
2013-08-03	"토"	"19"	"피자전문"	1075
2013-08-03	"토"	"20"	"피자전문"	891
2013-08-03	"토"	"21"	"피자전문"	859
2013-08-03	"토"	"22"	"피자전문"	613
2013-08-03	"토"	"23"	"피자전문"	200
2013-08-04	"일"	"00"	"족발/보쌈전문"	111
2013-08-04	"일"	"01"	"족발/보쌈전문"	74
2013-08-04	"일"	"02"	"족발/보쌈전문"	38
2013-08-04	"일"	"03"	"족발/보쌈전문"	18
2013-08-04	"일"	"04"	"족발/보쌈전문"	14
2013-08-04	"일"	"05"	"족발/보쌈전문"	10
2013-08-04	"일"	"09"	"족발/보쌈전문"	6
2013-08-04	"일"	"10"	"족발/보쌈전문"	31
2013-08-04	"일"	"11"	"족발/보쌈전문"	66
2013-08-04	"일"	"12"	"족발/보쌈전문"	134
2013-08-04	"일"	"13"	"족발/보쌈전문"	135
2013-08-04	"일"	"14"	"족발/보쌈전문"	145
2013-08-04	"일"	"15"	"족발/보쌈전문"	126
2013-08-04	"일"	"16"	"족발/보쌈전문"	225
2013-08-04	"일"	"17"	"족발/보쌈전문"	444
2013-08-04	"일"	"18"	"족발/보쌈전문"	632
2013-08-04	"일"	"19"	"족발/보쌈전문"	530
2013-08-04	"일"	"20"	"족발/보쌈전문"	354
2013-08-04	"일"	"21"	"족발/보쌈전문"	244
2013-08-04	"일"	"22"	"족발/보쌈전문"	203
2013-08-04	"일"	"23"	"족발/보쌈전문"	142
2013-08-04	"일"	"00"	"중국음식"	247
2013-08-04	"일"	"01"	"중국음식"	232
2013-08-04	"일"	"02"	"중국음식"	178
2013-08-04	"일"	"03"	"중국음식"	125
2013-08-04	"일"	"04"	"중국음식"	122
2013-08-04	"일"	"05"	"중국음식"	89
2013-08-04	"일"	"06"	"중국음식"	85
2013-08-04	"일"	"07"	"중국음식"	106
2013-08-04	"일"	"08"	"중국음식"	125
2013-08-04	"일"	"09"	"중국음식"	366
2013-08-04	"일"	"10"	"중국음식"	1155
2013-08-04	"일"	"11"	"중국음식"	3374
2013-08-04	"일"	"12"	"중국음식"	4812
2013-08-04	"일"	"13"	"중국음식"	4398
2013-08-04	"일"	"14"	"중국음식"	3237
2013-08-04	"일"	"15"	"중국음식"	2345
2013-08-04	"일"	"16"	"중국음식"	2217
2013-08-04	"일"	"17"	"중국음식"	3025
2013-08-04	"일"	"18"	"중국음식"	3706
2013-08-04	"일"	"19"	"중국음식"	3084
2013-08-04	"일"	"20"	"중국음식"	1912
2013-08-04	"일"	"21"	"중국음식"	628
2013-08-04	"일"	"22"	"중국음식"	364
2013-08-04	"일"	"23"	"중국음식"	287
2013-08-04	"일"	"00"	"치킨"	1283
2013-08-04	"일"	"01"	"치킨"	435
2013-08-04	"일"	"02"	"치킨"	139
2013-08-04	"일"	"03"	"치킨"	50
2013-08-04	"일"	"04"	"치킨"	28
2013-08-04	"일"	"05"	"치킨"	19
2013-08-04	"일"	"09"	"치킨"	12
2013-08-04	"일"	"10"	"치킨"	52
2013-08-04	"일"	"11"	"치킨"	290
2013-08-04	"일"	"12"	"치킨"	769
2013-08-04	"일"	"13"	"치킨"	1004
2013-08-04	"일"	"14"	"치킨"	1170
2013-08-04	"일"	"15"	"치킨"	1300
2013-08-04	"일"	"16"	"치킨"	2163
2013-08-04	"일"	"17"	"치킨"	3326
2013-08-04	"일"	"18"	"치킨"	4204
2013-08-04	"일"	"19"	"치킨"	4042
2013-08-04	"일"	"20"	"치킨"	3733
2013-08-04	"일"	"21"	"치킨"	3518
2013-08-04	"일"	"22"	"치킨"	2614
2013-08-04	"일"	"23"	"치킨"	1705
2013-08-04	"일"	"00"	"피자전문"	57
2013-08-04	"일"	"01"	"피자전문"	22
2013-08-04	"일"	"02"	"피자전문"	12
2013-08-04	"일"	"03"	"피자전문"	14
2013-08-04	"일"	"04"	"피자전문"	8
2013-08-04	"일"	"05"	"피자전문"	12
2013-08-04	"일"	"06"	"피자전문"	7
2013-08-04	"일"	"09"	"피자전문"	30
2013-08-04	"일"	"10"	"피자전문"	135
2013-08-04	"일"	"11"	"피자전문"	463
2013-08-04	"일"	"12"	"피자전문"	701
2013-08-04	"일"	"13"	"피자전문"	745
2013-08-04	"일"	"14"	"피자전문"	730
2013-08-04	"일"	"15"	"피자전문"	723
2013-08-04	"일"	"16"	"피자전문"	897
2013-08-04	"일"	"17"	"피자전문"	1191
2013-08-04	"일"	"18"	"피자전문"	1340
2013-08-04	"일"	"19"	"피자전문"	1124
2013-08-04	"일"	"20"	"피자전문"	907
2013-08-04	"일"	"21"	"피자전문"	784
2013-08-04	"일"	"22"	"피자전문"	465
2013-08-04	"일"	"23"	"피자전문"	152
2013-08-05	"월"	"00"	"족발/보쌈전문"	70
2013-08-05	"월"	"01"	"족발/보쌈전문"	35
2013-08-05	"월"	"02"	"족발/보쌈전문"	23
2013-08-05	"월"	"03"	"족발/보쌈전문"	18
2013-08-05	"월"	"07"	"족발/보쌈전문"	6
2013-08-05	"월"	"09"	"족발/보쌈전문"	12
2013-08-05	"월"	"10"	"족발/보쌈전문"	25
2013-08-05	"월"	"11"	"족발/보쌈전문"	69
